Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-03
Vertical Offset,-7.500000E-04
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808352
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.5031000000E+00,+9.750000E-04
-2.5026000000E+00,+9.250000E-04
-2.5021000000E+00,+7.270834E-04
-2.5016000000E+00,+7.229167E-04
-2.5011000000E+00,+4.958333E-04
-2.5006000000E+00,+7.520833E-04
-2.5001000000E+00,+1.058333E-03
-2.4996000000E+00,+7.437500E-04
-2.4991000000E+00,+4.604167E-04
-2.4986000000E+00,+5.083333E-04
-2.4981000000E+00,+4.062500E-04
-2.4976000000E+00,+7.333333E-04
-2.4971000000E+00,+8.562500E-04
-2.4966000000E+00,+5.937500E-04
-2.4961000000E+00,+1.083333E-04
-2.4956000000E+00,+2.500000E-04
-2.4951000000E+00,+3.687500E-04
-2.4946000000E+00,+3.520833E-04
-2.4941000000E+00,+1.291667E-04
-2.4936000000E+00,+4.250000E-04
-2.4931000000E+00,+2.458333E-04
-2.4926000000E+00,+2.833333E-04
-2.4921000000E+00,+1.458333E-05
-2.4916000000E+00,+5.750000E-04
-2.4911000000E+00,-3.208334E-04
-2.4906000000E+00,-4.166667E-05
-2.4901000000E+00,-4.166667E-05
-2.4896000000E+00,-7.708334E-05
-2.4891000000E+00,+8.333333E-05
-2.4886000000E+00,+2.312500E-04
-2.4881000000E+00,-4.583333E-05
-2.4876000000E+00,-2.520834E-04
-2.4871000000E+00,-7.500000E-05
-2.4866000000E+00,-2.270833E-04
-2.4861000000E+00,-1.291667E-04
-2.4856000000E+00,+9.583333E-05
-2.4851000000E+00,-2.708333E-04
-2.4846000000E+00,-4.166667E-04
-2.4841000000E+00,-2.916667E-04
-2.4836000000E+00,-3.645833E-04
-2.4831000000E+00,-3.250000E-04
-2.4826000000E+00,-3.604167E-04
-2.4821000000E+00,-7.312500E-04
-2.4816000000E+00,-6.291667E-04
-2.4811000000E+00,-9.604167E-04
-2.4806000000E+00,-4.583334E-04
-2.4801000000E+00,-5.875000E-04
-2.4796000000E+00,-8.395833E-04
